UMGS_ID	MAG_ID	Phylum	Class	Order	Family	Genus
UMGS1014	ERR1190945_bin.4	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1015	ERR1620298_bin.6	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS1016	ERR688512_bin.48	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
UMGS1017	ERR525737_bin.30	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
UMGS1018	SRR341662_bin.1	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
UMGS1019	SRR1757434_bin.5	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
UMGS1020	ERR1305901_bin.104	Tenericutes	NA	NA	NA	NA
UMGS1021	ERR525737_bin.53	Tenericutes	NA	NA	NA	NA
UMGS1022	SRR3737006_bin.37	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1023	SRR3737015_bin.39	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1024	SRR1930142_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1025	ERR1018185_bin.37	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
UMGS1026	SRR5056661_bin.1	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1027	SRR5127805_bin.10	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS1028	SRR341596_bin.15	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
UMGS1029	SRR5056682_bin.13	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
UMGS1030	SRR5127829_bin.3	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1031	ERR1018198_bin.34	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1032	ERR414261_bin.23	Tenericutes	NA	NA	NA	NA
UMGS1033	ERR525944_bin.16	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS1034	ERR1190928_bin.51	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1035	ERR1305896_bin.81	NA	NA	NA	NA	NA
UMGS1036	ERR011158_bin.10	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS1037	ERR1953519_bin.54	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1038	ERR525948_bin.22	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Massiliomicrobiota
UMGS1039	ERR1190935_bin.16	NA	NA	NA	NA	NA
UMGS1040	SRR1761714_bin.3	NA	NA	NA	NA	NA
UMGS1041	ERR1913021_bin.11	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1042	ERR321291_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1043	ERR414265_bin.28	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1044	ERR525785_bin.6	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS1045	SRR3108056_bin.25	Tenericutes	NA	NA	NA	NA
UMGS1046	ERR525759_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
UMGS1047	SRR3736999_bin.46	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1048	ERR589511_bin.32	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1049	ERR321543_bin.17	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
UMGS1050	SRR1761716_bin.6	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS1051	SRR3582181_bin.5	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
UMGS1052	SRR3736987_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1053	ERR1190946_bin.87	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
UMGS1054	SRR5056649_bin.8	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1055	SRR4481738_bin.94	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus
UMGS1056	SRR3992965_bin.74	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1057	SRR6028203_bin.16	Verrucomicrobia	Opitutae	Opitutales	NA	NA
UMGS1058	SRR1761668_bin.8	NA	NA	NA	NA	NA
UMGS1059	ERR1018308_bin.63	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
UMGS1060	SRR1197028_bin.2	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA
UMGS1061	SRR6028165_bin.10	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
UMGS1062	ERR414337_bin.68	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
UMGS1063	SRR1927149_bin.38	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS1064	ERR321174_bin.8	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
UMGS1065	SRR5580036_bin.33	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
UMGS1066	ERR589442_bin.43	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
UMGS1067	SRR6028369_bin.17	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
UMGS1068	ERR1190574_bin.24	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
UMGS1069	SRR6028370_bin.24	Verrucomicrobia	Opitutae	Opitutales	NA	NA
UMGS1070	ERR1620269_bin.27	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
